id,name,company,type,category,fee,risk,performance_1m,performance_3m,performance_6m,performance_1y,sharpe_ratio,performance3m
43,群益全民安穩樂退組合基金-R,群益投信,資產配置型,目標風險,0.74%,RR2,1.5%,3.8%,5.9%,10.2%,0.51,
44,群益全民成長樂退組合基金-R,群益投信,資產配置型,目標風險,0.94%,RR3,2.8%,6.8%,10.1%,16.5%,0.69,
45,群益全民成長樂退組合基金-TISA,群益投信,資產配置型,目標風險,0.64%,RR3,2.9%,7.1%,10.5%,17.2%,0.71,
46,群益全民優質樂退組合基金-R,群益投信,資產配置型,目標風險,0.84%,RR4,3.2%,7.9%,11.8%,19.6%,0.77,
47,群益馬拉松基金-TISA,群益投信,股票型,台股,0.64%,RR4,2.9%,7.3%,11.1%,20.8%,0.80,
48,台新1699貨幣市場基金-R,台新投信,貨幣型,貨幣市場,0.42%,RR1,0.1%,0.3%,0.6%,1.2%,0.18,
49,台新主流基金-R,台新投信,股票型,台股,0.89%,RR4,2.8%,6.9%,10.3%,19.2%,0.76,
50,台新中國通基金-R,台新投信,股票型,中國股票,1.15%,RR5,-1.2%,2.1%,3.8%,8.5%,0.28,
51,野村台灣高股息基金-R,野村投信,股票型,台股,0.88%,RR4,2.4%,6.2%,9.1%,17.3%,0.71,
52,野村全球高股息基金-R,野村投信,股票型,全球股票,1.08%,RR4,3.1%,7.8%,11.5%,20.2%,0.78,
53,野村多元收益多重資產基金-R,野村投信,資產配置型,多重資產,1.12%,RR3,2.6%,6.3%,9.4%,15.8%,0.68,
54,復華中小精選基金-R,復華投信,股票型,台股,0.92%,RR5,3.4%,9.1%,14.2%,26.8%,0.87,
55,復華傳統基金-R,復華投信,股票型,台股,0.88%,RR4,2.6%,6.5%,9.8%,18.5%,0.74,
56,第一金台灣貨幣市場基金-R,第一金投信,貨幣型,貨幣市場,0.38%,RR1,0.1%,0.3%,0.6%,1.2%,0.20,
57,第一金小型精選基金-R,第一金投信,股票型,台股,0.94%,RR5,3.2%,8.6%,13.4%,25.1%,0.85,
58,台中銀大發基金-TISA,台中銀投信,股票型,台股,0.72%,RR4,2.8%,6.9%,10.4%,19.6%,0.77,
59,台中銀萬保貨幣市場基金-R,台中銀投信,貨幣型,貨幣市場,0.45%,RR1,0.1%,0.3%,0.6%,1.2%,0.16,
60,新光台灣富貴基金-R,新光投信,股票型,台股,0.91%,RR4,2.7%,6.6%,9.9%,18.8%,0.75,
61,新光全球生技醫療基金-R,新光投信,股票型,產業主題,1.18%,RR4,2.1%,5.8%,8.9%,16.5%,0.69,
62,凱基台灣精五門基金-R,凱基投信,股票型,台股,0.95%,RR4,2.9%,7.1%,10.6%,19.8%,0.78,
63,凱基開創基金-R,凱基投信,股票型,台股,0.89%,RR4,2.6%,6.4%,9.7%,18.2%,0.73,
64,聯博多重資產傘型基金之聯博歐洲多重資產基金-R,聯博投信,資產配置型,歐洲多重資產,1.15%,RR4,3.8%,8.9%,12.6%,21.3%,0.79,
65,聯博收益傘型基金之聯博多元資產收益組合基金-R,聯博投信,資產配置型,收益型多重資產,1.08%,RR3,2.4%,5.7%,8.5%,14.2%,0.64,
66,聯博美國傘型基金之聯博美國多重資產收益基金-R,聯博投信,資產配置型,美國多重資產,1.12%,RR3,3.2%,7.6%,11.2%,18.9%,0.74,
67,瀚亞多重收益優化組合基金-R,瀚亞投信,資產配置型,收益型多重資產,1.09%,RR3,2.5%,,8.7%,14.6%,0.65,5.9%
68,瀚亞股債入息組合基金-R,瀚亞投信,資產配置型,股債組合,1.05%,RR3,2.8%,6.4%,9.3%,15.8%,0.68,
69,瀚亞理財通基金-R,瀚亞投信,資產配置型,多重資產,0.98%,RR3,2.6%,6.1%,9.0%,15.3%,0.66,
70,摩根台灣增長基金-R,摩根投信,股票型,台股,0.96%,RR4,2.9%,7.2%,10.8%,20.1%,0.78,
71,摩根全球平衡基金-R,摩根投信,平衡型,全球多重資產,1.14%,RR3,2.7%,6.3%,9.2%,15.6%,0.67,
72,施羅德台灣樂活基金-R,施羅德投信,股票型,台股,0.93%,RR4,2.8%,6.8%,10.2%,19.5%,0.77,
73,施羅德全球策略高收益債券基金-R,施羅德投信,債券型,高收益債券,1.21%,RR3,1.8%,4.2%,6.8%,11.5%,0.58,
74,德盛台灣大壩基金-R,德盛投信,股票型,台股,0.91%,RR4,2.7%,6.5%,9.8%,18.6%,0.74,
75,德盛全球高股息基金-R,德盛投信,股票型,全球股票,1.09%,RR4,3.0%,7.5%,11.0%,19.8%,0.76,
150,景順台灣科技基金-R,景順投信,股票型,台股科技,0.98%,RR5,4.2%,10.5%,16.8%,31.2%,0.95,
151,景順潛力基金-R,景順投信,股票型,台股,0.95%,RR4,2.9%,7.0%,10.5%,19.8%,0.78,
152,駿利亨德森平衡基金-R,駿利亨德森投信,平衡型,全球多重資產,1.16%,RR3,2.6%,6.2%,9.1%,15.4%,0.66,
153,駿利亨德森遠見基金-R,駿利亨德森投信,股票型,全球股票,1.18%,RR4,3.3%,8.1%,12.4%,22.7%,0.81,
154,路博邁投資等級債券基金-R,路博邁投信,債券型,投資等級債券,0.89%,RR2,1.4%,3.3%,5.4%,9.2%,0.54,
155,路博邁多重資產入息基金-R,路博邁投信,資產配置型,收益型多重資產,1.12%,RR3,2.7%,6.0%,8.8%,14.9%,0.65,
82,富蘭克林台灣成長基金-R,富蘭克林投信,股票型,台股,0.94%,RR4,2.8%,6.9%,10.3%,19.4%,0.76,
83,富蘭克林全球基金-R,富蘭克林投信,股票型,全球股票,1.15%,RR4,3.4%,8.6%,12.9%,23.1%,0.82,
84,富蘭克林高科技基金-R,富蘭克林投信,股票型,科技主題,1.21%,RR5,4.5%,11.2%,17.8%,32.6%,0.96,
85,貝萊德台灣優勢基金-R,貝萊德投信,股票型,台股,0.97%,RR4,2.9%,7.1%,10.6%,19.8%,0.78,
86,貝萊德世界能源基金-R,貝萊德投信,股票型,產業主題,1.26%,RR5,1.8%,4.5%,7.2%,13.8%,0.61,
87,貝萊德全球智慧數據基金-R,貝萊德投信,股票型,科技主題,1.34%,RR5,4.8%,12.1%,19.2%,35.4%,1.02,
88,法國巴黎台灣基金-R,法國巴黎投信,股票型,台股,0.99%,RR4,2.7%,6.6%,9.9%,18.7%,0.74,
89,法國巴黎新興市場基金-R,法國巴黎投信,股票型,新興市場,1.28%,RR5,0.8%,3.2%,5.9%,11.4%,0.49,
90,法國巴黎全球環境基金-R,法國巴黎投信,股票型,ESG主題,1.31%,RR4,3.6%,8.8%,13.1%,22.5%,0.80,
91,柏瑞台灣高股息權益基金-R,柏瑞投信,股票型,台股,0.93%,RR4,2.5%,6.3%,9.4%,17.8%,0.72,
92,柏瑞全球策略高收益債券基金-R,柏瑞投信,債券型,高收益債券,1.18%,RR3,1.9%,4.4%,7.1%,12.2%,0.59,
93,柏瑞環球多元資產基金-R,柏瑞投信,資產配置型,多重資產,1.14%,RR3,2.7%,6.4%,9.3%,15.7%,0.67,
94,駿利亨德森四季收益組合基金-R,駿利亨德森投信,資產配置型,收益型多重資產,1.11%,RR3,2.3%,5.6%,8.2%,13.9%,0.63,
95,駿利亨德森全球天然資源基金-R,駿利亨德森投信,股票型,產業主題,1.24%,RR5,1.5%,3.8%,6.1%,11.7%,0.52,
96,駿利亨德森歐洲基金-R,駿利亨德森投信,股票型,歐洲股票,1.19%,RR4,3.1%,7.8%,11.3%,19.6%,0.76,
97,路博邁台灣增值基金-R,路博邁投信,股票型,台股,0.96%,RR4,2.8%,6.8%,10.1%,19.1%,0.76,
98,路博邁全球非投資等級債券基金-R,路博邁投信,債券型,高收益債券,1.22%,RR3,2.0%,4.6%,7.4%,12.8%,0.61,
99,路博邁新興市場債券基金-R,路博邁投信,債券型,新興市場債券,1.17%,RR3,1.6%,3.9%,6.3%,10.8%,0.55,
100,霸菱台灣基金-R,霸菱投信,股票型,台股,0.98%,RR4,2.6%,6.5%,9.8%,18.5%,0.74,
101,霸菱歐洲基金-R,霸菱投信,股票型,歐洲股票,1.16%,RR4,3.0%,7.5%,10.9%,18.8%,0.75,
102,霸菱全球新興市場基金-R,霸菱投信,股票型,新興市場,1.27%,RR5,0.9%,3.4%,6.1%,12.3%,0.51,
103,景順主流基金-R,景順投信,股票型,台股,0.94%,RR4,2.7%,6.7%,10.0%,18.9%,0.75,
104,景順台灣科技基金-R,景順投信,股票型,台股科技,0.98%,RR5,4.2%,10.5%,16.8%,31.2%,0.95,
105,景順全球科技基金-R,景順投信,股票型,科技主題,1.23%,RR5,4.9%,12.4%,19.7%,36.8%,1.05,
106,新光店頭基金-R,新光投信,股票型,台股,0.93%,RR5,3.3%,8.7%,13.6%,25.8%,0.86,
107,新光創新科技基金-R,新光投信,股票型,科技主題,1.07%,RR5,4.1%,10.2%,16.4%,30.5%,0.93,
108,新光吉星貨幣市場基金-R,新光投信,貨幣型,貨幣市場,0.43%,RR1,0.1%,0.3%,0.6%,1.2%,0.17,
109,凱基新興市場中小基金-R,凱基投信,股票型,新興市場,1.24%,RR5,1.1%,3.8%,6.7%,13.2%,0.56,
110,凱基台商天下基金-R,凱基投信,股票型,中國股票,1.18%,RR5,-0.8%,2.5%,4.2%,9.1%,0.32,
111,凱基全球資源基金-R,凱基投信,股票型,產業主題,1.26%,RR5,1.4%,3.6%,5.8%,11.2%,0.49,
112,德盛德利貨幣市場基金-R,德盛投信,貨幣型,貨幣市場,0.41%,RR1,0.1%,0.3%,0.6%,1.2%,0.18,
113,德盛安聯全球綠能趨勢基金-R,德盛投信,股票型,ESG主題,1.29%,RR4,3.2%,7.9%,11.8%,20.4%,0.78,
114,德盛安聯收益成長基金-R,德盛投信,資產配置型,收益型多重資產,1.13%,RR3,2.4%,5.8%,8.6%,14.3%,0.64,
115,宏利台灣動力基金-R,宏利投信,股票型,台股,0.97%,RR4,2.8%,6.9%,10.3%,19.4%,0.77,
116,宏利全球債券基金-R,宏利投信,債券型,全球債券,0.88%,RR2,1.5%,3.6%,5.8%,10.1%,0.57,
117,宏利亞太入息基金-R,宏利投信,資產配置型,亞太多重資產,1.16%,RR3,2.1%,5.2%,7.8%,13.6%,0.62,
118,瑞銀台灣精選基金-R,瑞銀投信,股票型,台股,0.99%,RR4,2.9%,7.0%,10.4%,19.6%,0.78,
119,瑞銀全球生化基金-R,瑞銀投信,股票型,產業主題,1.27%,RR4,2.3%,6.1%,9.2%,17.8%,0.72,
120,瑞銀新興市場基金-R,瑞銀投信,股票型,新興市場,1.31%,RR5,0.7%,3.1%,5.6%,11.8%,0.50,
121,永豐台灣加權ETF基金-R,永豐投信,股票型,台股ETF,0.68%,RR4,2.9%,6.8%,9.8%,18.3%,0.73,
122,永豐高科技基金-R,永豐投信,股票型,科技主題,1.04%,RR5,4.3%,10.7%,17.1%,31.8%,0.97,
123,永豐永豐基金-R,永豐投信,股票型,台股,0.92%,RR4,2.7%,6.5%,9.7%,18.4%,0.74,
124,華南永昌台灣精品基金-R,華南永昌投信,股票型,台股,0.96%,RR4,2.8%,6.8%,10.1%,19.0%,0.76,
125,華南永昌全球物聯網精選基金-R,華南永昌投信,股票型,科技主題,1.19%,RR5,4.4%,11.0%,17.5%,32.1%,0.98,
126,華南永昌鳳翔貨幣市場基金-R,華南永昌投信,貨幣型,貨幣市場,0.44%,RR1,0.1%,0.3%,0.6%,1.2%,0.16,
127,元富台股基金-R,元富投信,股票型,台股,0.94%,RR4,2.6%,6.4%,9.6%,18.1%,0.73,
128,元富得利貨幣市場基金-R,元富投信,貨幣型,貨幣市場,0.39%,RR1,0.1%,0.3%,0.6%,1.2%,0.19,
129,元富全球未來通訊基金-R,元富投信,股票型,科技主題,1.15%,RR5,4.6%,11.5%,18.2%,33.4%,1.01,
130,群益台灣精選高息基金-R,群益投信,股票型,台股,0.87%,RR4,2.4%,6.0%,8.9%,16.8%,0.70,
131,群益創新科技基金-R,群益投信,股票型,科技主題,1.08%,RR5,4.0%,9.9%,15.8%,29.3%,0.90,
132,群益深証中小板ETF基金-R,群益投信,股票型,中國股票,1.12%,RR5,-1.1%,1.8%,3.4%,7.9%,0.29,
133,台新2000高科技基金-R,台新投信,股票型,科技主題,1.06%,RR5,4.2%,10.4%,16.6%,30.8%,0.94,
134,台新MSCI中國基金-R,台新投信,股票型,中國股票,1.16%,RR5,-0.9%,2.2%,3.9%,8.8%,0.31,
135,台新智慧生活基金-R,台新投信,股票型,產業主題,1.13%,RR4,3.7%,9.1%,13.7%,24.2%,0.83,
136,野村e科技基金-R,野村投信,股票型,科技主題,1.14%,RR5,4.5%,11.1%,17.6%,32.3%,0.98,
137,野村新馬基金-R,野村投信,股票型,東南亞股票,1.21%,RR5,1.3%,4.1%,7.2%,14.6%,0.63,
138,野村泛歐基金-R,野村投信,股票型,歐洲股票,1.17%,RR4,3.3%,8.2%,12.0%,20.8%,0.79,
139,復華數位經濟基金-R,復華投信,股票型,科技主題,1.09%,RR5,4.3%,10.6%,16.9%,31.1%,0.95,
140,復華全球物聯網科技基金-R,復華投信,股票型,科技主題,1.18%,RR5,4.7%,11.7%,18.4%,33.6%,1.02,
141,復華華人世紀基金-R,復華投信,股票型,中國股票,1.14%,RR5,-0.7%,2.4%,4.1%,9.3%,0.33,
142,第一金全家福貨幣市場基金-R,第一金投信,貨幣型,貨幣市場,0.36%,RR1,0.1%,0.3%,0.6%,1.2%,0.21,
143,第一金全球大趨勢基金-R,第一金投信,股票型,全球股票,1.21%,RR4,3.5%,8.7%,13.0%,23.8%,0.84,
144,第一金亞洲科技基金-R,第一金投信,股票型,科技主題,1.16%,RR5,3.8%,9.4%,14.8%,27.2%,0.88,
145,安本台灣基金-R,安本投信,股票型,台股,1.01%,RR4,2.5%,6.2%,9.3%,17.6%,0.71,
146,安本全球債券基金-R,安本投信,債券型,全球債券,0.91%,RR2,1.6%,3.8%,6.1%,10.7%,0.59,
147,安本新興市場債券基金-R,安本投信,債券型,新興市場債券,1.14%,RR3,1.7%,4.1%,6.6%,11.4%,0.57,
148,百達環保能源基金-R,百達投信,股票型,ESG主題,1.33%,RR4,3.4%,8.3%,12.4%,21.7%,0.81,
149,百達生物科技基金-R,百達投信,股票型,產業主題,1.28%,RR4,2.6%,6.8%,10.1%,18.9%,0.74,
150,百達全球精選品牌基金-R,百達投信,股票型,全球股票,1.24%,RR4,3.6%,9.0%,13.5%,24.6%,0.85,
151,施羅德環球基金系列-環球氣候變化策略-R,施羅德投信,股票型,ESG主題,1.31%,RR4,3.5%,8.6%,12.8%,22.4%,0.82,
152,施羅德全球策略價值基金-R,施羅德投信,股票型,全球股票,1.19%,RR4,3.1%,7.7%,11.2%,19.8%,0.77,
153,施羅德新興亞洲基金-R,施羅德投信,股票型,亞洲股票,1.22%,RR5,1.2%,3.9%,6.8%,13.5%,0.58,
154,摩根東協基金-R,摩根投信,股票型,東南亞股票,1.18%,RR5,1.4%,4.3%,7.5%,15.1%,0.65,
155,摩根多重收益基金-R,摩根投信,資產配置型,收益型多重資產,1.15%,RR3,2.3%,5.5%,8.1%,13.7%,0.62,
